고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,본번,부번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
2826010300105160000,2826010300,인천광역시 서구 검암동,1,일반,516,7,2826010300105160000,2020,01,1,0,265.8,159.21,148.04,148.04,244000000,N,2020-04-29
2826010300105160000,2826010300,인천광역시 서구 검암동,1,일반,516,8,2826010300105160000,2020,01,0,0,323.6,323.6,478.83,478.83,597000000,N,2020-04-29
2826010300105160000,2826010300,인천광역시 서구 검암동,1,일반,516,10,2826010300105160000,2020,01,0,0,262.1,262.1,479.58,479.58,569000000,N,2020-04-29
2826010300105170000,2826010300,인천광역시 서구 검암동,1,일반,517,3,2826010300105170000,2020,01,0,0,321.9,321.9,610.32,610.32,673000000,N,2020-04-29
2826010300105180000,2826010300,인천광역시 서구 검암동,1,일반,518,2,2826010300105180000,2020,01,0,0,376,376,736.8,736.8,763000000,N,2020-04-29
2826010300105180000,2826010300,인천광역시 서구 검암동,1,일반,518,3,2826010300105180000,2020,01,0,0,171,171,322.9,322.9,371000000,N,2020-04-29
2826010300105180000,2826010300,인천광역시 서구 검암동,1,일반,518,5,2826010300105180000,2020,01,0,0,251.2,251.2,482.36,482.36,591000000,N,2020-04-29
2826010300105180000,2826010300,인천광역시 서구 검암동,1,일반,518,7,2826010300105180000,2020,01,0,0,246.9,246.9,480,480,536000000,N,2020-04-29
2826010300105180000,2826010300,인천광역시 서구 검암동,1,일반,518,8,2826010300105180000,2020,01,0,0,312.4,312.4,599.04,599.04,678000000,N,2020-04-29
2826010300105180000,2826010300,인천광역시 서구 검암동,1,일반,518,13,2826010300105180000,2020,01,0,0,375.9,375.9,721.8,721.8,774000000,N,2020-04-29
2826010300105200000,2826010300,인천광역시 서구 검암동,1,일반,520,3,2826010300105200000,2020,01,0,0,189.6,47.4,376.84,94.21,123000000,N,2020-04-29
2826010300105210000,2826010300,인천광역시 서구 검암동,1,일반,521,8,2826010300105210000,2020,01,0,0,292.6,292.6,529.66,529.66,607000000,N,2020-04-29
2826010300105210000,2826010300,인천광역시 서구 검암동,1,일반,521,10,2826010300105210000,2020,01,0,0,292.6,292.6,529.66,529.66,591000000,N,2020-04-29
2826010300105210000,2826010300,인천광역시 서구 검암동,1,일반,521,11,2826010300105210000,2020,01,0,0,584.5,584.5,927.4,927.4,1178000000,N,2020-04-29
2826010300105210000,2826010300,인천광역시 서구 검암동,1,일반,521,12,2826010300105210000,2020,01,0,0,297.4,297.4,543.48,543.48,657000000,N,2020-04-29
